ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
1,5.29,0.2335,4.483,0.3086
2,4.721,0.8315,4.666,0.848
3,4.071,0.7549,4.071,0.7549
4,4.113,0.7617,4.113,0.7617
5,4.588,0.8605,4.588,0.8605
6,4.615,0.8017,3.616,0.8169
7,3.978,0.5497,3.464,0.7213
8,4.338,0.6774,3.753,0.7713
9,4.885,0.7352,4.084,0.8766
10,5.341,0.6858,3.176,0.7987
11,3.72,0.6703,3.286,0.7566
12,4.253,0.6908,3.482,0.864
13,4.436,0.8835,4.436,0.8835
16,5.289,0.3374,4.314,0.3759
17,5.248,0.2255,4.991,0.2683
18,4.951,0.4245,4.512,0.8032
19,5.316,0.7954,5.316,0.7954
20,4.034,0.9335,4.034,0.9335
23,5.52,0.301,4.981,0.475
30,5.846,0.6635,5.829,0.7735
32,5.449,0.5318,4.994,0.668
33,5.431,0.6767,5.279,0.7489
34,5.666,0.5319,5.308,0.708
35,4.39,0.6975,3.723,0.7246
37,5.744,0.6637,5.593,0.674
42,5.413,0.6994,5.402,0.7701
44,5.711,0.7827,5.591,0.8149
45,4.924,0.4649,4.913,0.881
46,6.203,0.6746,6.203,0.6746
47,6.399,0.495,6.035,0.6372
48,5.068,0.5702,4.795,0.6408
51,6.39,0.4149,5.883,0.5008
52,6.805,0.6759,6.805,0.6759
53,4.826,0.5222,4.65,0.7084
54,6.301,0.5208,6.294,0.6889
55,5.571,0.4874,5.476,0.6609
56,5.872,0.8135,5.872,0.8135
57,5.519,0.6045,5.283,0.7418
58,5.851,0.6996,5.018,0.7625
59,5.704,0.5363,5.612,0.6519
60,6.209,0.7499,6.209,0.7499
61,5.861,0.7074,5.861,0.7074
62,5.615,0.6852,5.615,0.6852
63,5.623,0.6052,5.13,0.6171
64,5.992,0.7371,5.992,0.7371
65,5.362,0.597,5.298,0.6732
66,5.687,0.5382,5.252,0.6779
67,6.032,0.5768,5.517,0.6893
68,6.26,0.4797,6.022,0.7222
69,5.668,0.7012,5.668,0.7012
70,6.001,0.6414,5.872,0.8214
71,5.752,0.4849,5.4,0.6371
72,5.829,0.4678,5.822,0.6705
73,5.493,0.4646,5.197,0.585
74,5.906,0.5791,5.635,0.6458
78,5.723,0.4346,5.392,0.5175
80,6.533,0.53,5.71,0.5349
81,7.145,0.4596,7.145,0.4596
82,6.578,0.4534,5.98,0.5679
88,6.928,0.7189,6.928,0.7189
89,5.982,0.4003,5.531,0.5148
90,6.124,0.7006,5.76,0.7979
91,5.246,0.7078,5.246,0.7078
92,6.411,0.5861,6.411,0.5861
94,5.649,0.683,5.649,0.683
95,6.166,0.327,6.085,0.537
96,5.011,0.6508,4.641,0.7071
97,6.569,0.5612,5.428,0.5963
98,4.451,0.7141,3.983,0.7168
99,4.195,0.6096,3.962,0.8252
100,4.427,0.5824,3.818,0.7567
101,4.533,0.6677,4.094,0.783
